,medallion, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, fake_pickup_latitude, fake_pickup_longitude,pickup_walking_time, fake_dropoff_latitude, fake_dropoff_longitude,dropoff_walking_time
84,2010000085,2010-01-01 00:01:03,2010-01-01 00:14:31,1,13.46,2.6,-73.994026,40.761520000000004,-73.983452,40.760208,40.762502,-73.993366,92.0,40.759345,-73.984855,166.0
85,2010000086,2010-01-01 00:01:04,2010-01-01 00:26:02,2,24.97,6.6,-73.99748199999999,40.736591,-73.979965,40.668877,40.736587,-73.997080,20.0,40.669535,-73.979517,57.0
86,2010000087,2010-01-01 00:01:05,2010-01-01 00:17:31,1,16.43,6.0,-73.98468000000001,40.728516,-73.952507,40.800304,40.728506,-73.984669,0.0,40.799949,-73.952483,40.0
87,2010000088,2010-01-01 00:01:05,2010-01-01 00:07:43,1,6.63,1.8,-73.96880300000001,40.760757,-73.947693,40.770835999999996,40.760843,-73.969205,23.0,40.771450,-73.946745,169.0
88,2010000089,2010-01-01 00:01:05,2010-01-01 00:21:43,1,20.63,8.6,-73.87091099999999,40.773762,-73.967331,40.793265999999996,40.773761,-73.869625,3.0,40.794250,-73.967204,67.0
89,2010000090,2010-01-01 00:01:06,2010-01-01 00:01:06,2,0.0,0.38,-73.974632,40.756687,-73.979874,40.759144,40.755370,-73.973748,165.0,40.760205,-73.980846,168.0
90,2010000091,2010-01-01 00:01:07,2010-01-01 00:01:07,2,0.0,0.23,-73.987358,40.718475,-73.985184,40.720467,40.717603,-73.985937,152.0,40.719357,-73.984559,119.0
91,2010000092,2010-01-01 00:01:07,2010-01-01 00:15:32,1,14.42,3.6,-73.99266800000001,40.749866,-74.01268,40.706646,40.748776,-73.991686,147.0,40.706557,-74.012354,35.0
92,2010000093,2010-01-01 00:01:08,2010-01-01 00:09:44,4,8.599999999999998,1.1,-73.97224399999999,40.747395000000004,-73.985046,40.744305,40.746810,-73.970862,75.0,40.743447,-73.986133,136.0
93,2010000094,2010-01-01 00:01:09,2010-01-01 00:19:56,1,18.78,1.4,-73.992088,40.738529,-73.971756,40.749657,40.737980,-73.990672,110.0,40.748889,-73.972592,115.0
94,2010000095,2010-01-01 00:01:10,2010-01-01 00:23:51,2,22.68,9.1,-73.986511,40.760921,-73.926926,40.857605,40.759828,-73.987336,174.0,40.858534,-73.925677,89.0
95,2010000096,2010-01-01 00:01:12,2010-01-01 00:34:14,1,33.03,18.8,-73.862785,40.769073,-73.902412,40.936306,40.770163,-73.863568,89.0,40.937667,-73.903785,155.0
96,2010000097,2010-01-01 00:01:13,2010-01-01 00:14:37,2,13.4,2.9,-73.975243,40.787754,-73.963219,40.75832,40.788766,-73.976631,144.0,40.757161,-73.963284,114.0
97,2010000098,2010-01-01 00:01:14,2010-01-01 00:06:13,2,4.98,1.0,-73.95488,40.773518,-73.960373,40.761520000000004,40.773386,-73.956144,104.0,40.761911,-73.961032,66.0
98,2010000099,2010-01-01 00:01:15,2010-01-01 00:19:39,1,18.4,3.4,-73.954773,40.767281,-73.96302800000001,40.799149,40.767124,-73.953612,98.0,40.798785,-73.963983,102.0
99,2010000100,2010-01-01 00:01:15,2010-01-01 00:10:12,1,8.949999999999998,1.1,-73.995094,40.749603,-73.97694399999999,40.743598999999996,40.750779,-73.995688,135.0,40.743008,-73.976544,58.0
100,2010000101,2010-01-01 00:01:16,2010-01-01 00:06:32,1,5.27,0.6,-74.001938,40.734943,-73.994499,40.728607000000004,40.734702,-74.000545,138.0,40.728642,-73.994079,44.0
101,2010000102,2010-01-01 00:01:17,2010-01-01 00:08:09,1,6.87,2.3,-74.002548,40.750355,-73.981476,40.779449,40.750238,-74.003781,150.0,40.778357,-73.980583,166.0
102,2010000103,2010-01-01 00:01:18,2010-01-01 00:18:16,1,16.97,5.3,-73.98485600000001,40.742077,-73.964851,40.801697,40.743524,-73.984431,167.0,40.800856,-73.966114,156.0
103,2010000104,2010-01-01 00:01:19,2010-01-01 00:07:14,1,5.92,1.6,-73.991493,40.739025,-73.999176,40.72015,40.738844,-73.990018,134.0,40.718731,-74.000146,134.0
104,2010000105,2010-01-01 00:01:19,2010-01-01 00:06:46,2,5.45,0.7,-73.94742600000001,40.771328000000004,-73.946556,40.776641999999995,40.770288,-73.946034,163.0,40.776834,-73.946820,24.0
105,2010000106,2010-01-01 00:01:22,2010-01-01 00:08:53,1,7.519999999999999,1.0,-74.006035,40.739998,-73.994675,40.75045,40.738886,-74.006075,130.0,40.749245,-73.995577,110.0
106,2010000107,2010-01-01 00:01:23,2010-01-01 00:01:23,1,0.0,0.61,-73.980042,40.743061,-73.974861,40.750384999999994,40.742100,-73.979132,131.0,40.751776,-73.974344,151.0
107,2010000108,2010-01-01 00:01:24,2010-01-01 00:28:56,1,27.53,15.4,-73.975227,40.729015000000004,-73.908348,40.884567,40.728154,-73.974223,143.0,40.884932,-73.907785,131.0
108,2010000109,2010-01-01 00:01:24,2010-01-01 00:16:26,2,15.03,2.4,-73.98111,40.750305,-73.990234,40.751438,40.749176,-73.982571,158.0,40.752694,-73.990883,163.0
109,2010000110,2010-01-01 00:01:25,2010-01-01 00:22:08,1,20.72,7.1,-73.97030600000001,40.760609,-73.875107,40.710392,40.760844,-73.970361,13.0,40.711029,-73.875658,76.0
110,2010000111,2010-01-01 00:01:25,2010-01-01 00:22:15,4,20.83,6.3,-73.967422,40.752476,-73.933723,40.710987,40.751735,-73.968453,146.0,40.712147,-73.933297,128.0
111,2010000112,2010-01-01 00:01:26,2010-01-01 00:05:05,4,3.65,0.8,-74.00210600000001,40.717490999999995,-74.00210600000001,40.717490999999995,40.718884,-74.002576,169.0,40.716651,-74.002204,99.0
112,2010000113,2010-01-01 00:01:26,2010-01-01 00:04:10,1,2.73,0.8,-73.98867,40.731173999999996,-73.991913,40.721951000000004,40.732350,-73.989187,155.0,40.721185,-73.991420,145.0
113,2010000114,2010-01-01 00:01:26,2010-01-01 00:13:21,1,11.92,3.6,-73.922653,40.760658,-73.971397,40.757179,40.759274,-73.922996,131.0,40.757681,-73.970807,120.0
114,2010000115,2010-01-01 00:01:27,2010-01-01 00:10:17,2,8.83,5.1,-73.87445799999999,40.774006,-73.84947199999999,40.725349,40.773227,-73.873031,141.0,40.724033,-73.848980,174.0
115,2010000116,2010-01-01 00:01:27,2010-01-01 00:09:54,1,8.449999999999998,1.8,-73.96843,40.761654,-73.947739,40.774975,40.762775,-73.967682,114.0,40.774667,-73.946780,84.0
116,2010000117,2010-01-01 00:01:27,2010-01-01 00:06:14,1,4.78,1.1,-73.9991,40.739365,-73.985435,40.738605,40.739589,-73.999323,21.0,40.738057,-73.986736,134.0
117,2010000118,2010-01-01 00:01:28,2010-01-01 00:17:04,1,15.6,3.9,-73.993156,40.74139,-74.005264,40.707214,40.742725,-73.993086,148.0,40.707082,-74.003771,149.0
118,2010000119,2010-01-01 00:01:30,2010-01-01 00:06:14,2,4.73,0.9,-73.983215,40.738621,-73.973389,40.748787,40.737935,-73.981820,120.0,40.748411,-73.974744,146.0
119,2010000120,2010-01-01 00:01:32,2010-01-01 00:12:33,4,11.02,2.5,-74.000084,40.734871000000005,-74.013931,40.707497,40.734345,-73.999222,111.0,40.708791,-74.012709,175.0
120,2010000121,2010-01-01 00:01:33,2010-01-01 00:16:17,4,14.73,3.7,-74.00660699999999,40.744419,-74.00930799999999,40.713287,40.745302,-74.006018,78.0,40.712034,-74.009650,153.0
121,2010000122,2010-01-01 00:01:33,2010-01-01 00:10:40,1,9.12,2.2,-73.973167,40.790333000000004,-73.94368,40.792759000000004,40.790497,-73.973073,24.0,40.793711,-73.944665,160.0
122,2010000123,2010-01-01 00:01:34,2010-01-01 00:07:07,3,5.55,1.0,-73.983047,40.756145000000004,-73.971558,40.762039,40.756885,-73.982583,65.0,40.762798,-73.971607,134.0
123,2010000124,2010-01-01 00:01:34,2010-01-01 00:01:34,1,0.0,0.02,-73.954124,40.801173999999996,-73.95431500000001,40.800896,40.799702,-73.955109,137.0,40.800416,-73.954968,56.0
124,2010000125,2010-01-01 00:01:35,2010-01-01 00:22:59,1,21.4,6.2,-73.96927600000001,40.762691,-73.928528,40.696552000000004,40.762535,-73.969147,13.0,40.696632,-73.927611,58.0
125,2010000126,2010-01-01 00:01:35,2010-01-01 00:06:15,1,4.67,1.7,-73.968018,40.755379,-73.956154,40.772121000000006,40.754933,-73.966643,116.0,40.772404,-73.955472,55.0
126,2010000127,2010-01-01 00:01:35,2010-01-01 00:06:34,1,4.98,1.3,-73.963295,40.765705,-73.951103,40.77887,40.766721,-73.962430,117.0,40.779009,-73.949906,93.0
127,2010000128,2010-01-01 00:01:35,2010-01-01 00:24:49,1,23.23,12.2,-73.95414699999999,40.764010999999996,-73.796585,40.713753000000004,40.764250,-73.953577,118.0,40.713204,-73.797492,83.0
